Date,Rm,AbsoluteRm,SquaredRm,Csad,LeftTail,RightTail
2002-07-31,-0.0023234858043539924,0.0023234858043539924,5.398586283034519e-06,0.07251291118893781,0,0
2002-08-31,0.03493054270583639,0.03493054270583639,0.0012201428137242599,1.8909313113993675,0,1
2002-09-30,0.0021311520092944856,0.0021311520092944856,4.5418088867199235e-06,0.9871374162336657,0,0
2002-10-31,-0.00672832752791201,0.00672832752791201,4.527039132285854e-05,0.8204652705227639,0,0
2002-11-30,0.04554877181831696,0.04554877181831696,0.002074690614157105,3.0160863819700667,0,1
2002-12-31,0.023218725456504673,0.023218725456504673,0.0005391092118245381,1.484727169079256,0,0
2003-01-31,0.014496025170065551,0.014496025170065551,0.000210134745731174,1.7916625672528557,0,0
2003-02-28,0.014463948692208696,0.014463948692208696,0.00020920581177084563,1.0181666910420648,0,0
2003-03-31,0.006450453824230899,0.006450453824230899,4.160835453853503e-05,0.9038980713843117,0,0
2003-04-30,0.04519638048082398,0.04519638048082398,0.002042712808567407,2.691535621481625,0,1
2003-05-31,0.022947729357697615,0.022947729357697615,0.000526598282674137,2.4399117281887186,0,0
2003-06-30,0.003010005868758319,0.003010005868758319,9.060135329959522e-06,1.1463481717482922,0,0
2003-07-31,-0.032553523191669806,0.032553523191669806,0.0010597318721905838,1.6889260631568102,1,0
2003-08-31,0.008291115144128768,0.008291115144128768,6.87425903332014e-05,0.02438671688576198,0,0
2003-09-30,0.027868599880807872,0.027868599880807872,0.0007766588593165646,2.299456100029464,0,0
2003-10-31,-0.0020573361353546614,0.0020573361353546614,4.2326319738360535e-06,0.4564552164851184,0,0
2003-11-30,0.011931522576560185,0.011931522576560185,0.0001423612309949654,0.965693827248462,0,0
2003-12-31,0.011732316915545325,0.011732316915545325,0.00013764726020679097,1.0282189083883346,0,0
2004-01-31,0.012412460504448226,0.012412460504448226,0.00015406917577448712,1.3632573342663095,0,0
2004-02-29,0.006576266874082511,0.006576266874082511,4.324728599915496e-05,0.6966060130432268,0,0
2004-03-31,0.010064055696672713,0.010064055696672713,0.00010128521706573049,0.8440406356014323,0,0
2004-04-30,-0.023032408291375813,0.023032408291375813,0.0005304918317006373,1.540263740228965,1,0
